iter	Passed	Remaining
0	0	16
1	0	19
2	0	18
3	0	18
4	0	18
5	1	18
6	1	17
7	1	16
8	1	15
9	1	15
10	1	14
11	1	13
12	2	13
13	2	13
14	2	12
15	2	12
16	2	12
17	2	11
18	2	11
19	2	11
20	2	11
21	3	10
22	3	10
23	3	10
24	3	10
25	3	10
26	3	9
27	3	9
28	4	9
29	4	9
30	4	9
31	4	9
32	4	9
33	4	9
34	4	9
35	5	9
36	5	8
37	5	8
38	5	8
39	5	8
40	5	8
41	5	8
42	6	7
43	6	7
44	6	7
45	6	7
46	6	7
47	6	7
48	6	6
49	6	6
50	6	6
51	7	6
52	7	6
53	7	6
54	7	6
55	7	5
56	7	5
57	7	5
58	8	5
59	8	5
60	8	5
61	8	5
62	8	5
63	8	4
64	9	4
65	9	4
66	9	4
67	9	4
68	9	4
69	9	4
70	9	3
71	9	3
72	10	3
73	10	3
74	10	3
75	10	3
76	10	3
77	11	3
78	11	3
79	11	2
80	11	2
81	12	2
82	12	2
83	12	2
84	12	2
85	12	2
86	12	1
87	12	1
88	12	1
89	13	1
90	13	1
91	13	1
92	13	1
93	13	0
94	13	0
95	13	0
96	13	0
97	13	0
98	14	0
99	14	0
